"CardID","Set","CardName","Type","EnergyType","TotalCount","DeckCount"
"base5-15","base5","Here Comes Team Rocket!","Trainer","","0","0"
"basep-24","basep","_____'s Pikachu","Pokemon","Lightning","0","0"
"basep-43","basep","Machamp","Pokemon","Fighting","0","0"
"basep-38","basep","Unown [J]","Pokemon","Psychic","0","0"
"gym2-96","gym2","Sabrina's Gastly","Pokemon","Psychic","0","0"
"gym1-124","gym1","Narrow Gym","Trainer","","0","0"
"gym2-53","gym2","Lt. Surge's Raticate","Pokemon","Colorless","0","0"
"gym1-3","gym1","Erika's Clefable","Pokemon","Colorless","0","0"
"gym1-119","gym1","Tickling Machine","Trainer","","0","0"
"basep-49","basep","Snorlax","Pokemon","Colorless","0","0"
"basep-46","basep","Electabuzz","Pokemon","Lightning","0","0"
"gym1-35","gym1","Blaine's Growlithe","Pokemon","Fire","0","0"
"gym1-23","gym1","Brock's Sandslash","Pokemon","Fighting","0","0"
"gym2-85","gym2","Lt. Surge's Rattata","Pokemon","Colorless","0","0"
"gym1-88","gym1","Misty's Seel","Pokemon","Water","0","0"
"gym1-1","gym1","Blaine's Moltres","Pokemon","Fire","0","0"
"basep-9","basep","Mew","Pokemon","Psychic","0","0"
"gym1-110","gym1","Erika's Perfume","Trainer","","0","0"
"basep-29","basep","Marill","Pokemon","Water","0","0"
"gym2-119","gym2","Rocket's Minefield Gym","Trainer","","0","0"
"basep-37","basep","Hitmontop","Pokemon","Fighting","0","0"
"gym1-59","gym1","Sabrina's Jynx","Pokemon","Psychic","0","0"
"basep-40","basep","Pokémon Center","Trainer","","0","0"
"gym2-48","gym2","Koga's Koffing","Pokemon","Grass","0","0"
"basep-45","basep","Scyther","Pokemon","Grass","0","0"
"basep-50","basep","Celebi","Pokemon","Grass","0","0"
"base1-39","base1","Porygon","Pokemon","Colorless","0","0"
"basep-23","basep","Zapdos","Pokemon","Lightning","0","0"
"gym1-38","gym1","Brock's Geodude","Pokemon","Fighting","0","0"
"gym2-59","gym2","Sabrina's Mr. Mime","Pokemon","Psychic","0","0"
"gym2-101","gym2","Brock's Protection","Trainer","","0","0"
"gym1-48","gym1","Erika's Weepinbell","Pokemon","Grass","0","0"
"gym2-120","gym2","Rocket's Secret Experiment","Trainer","","0","0"
"basep-51","basep","Rapidash","Pokemon","Fire","0","0"
"gym2-126","gym2","Warp Point","Trainer","","0","0"
"gym1-4","gym1","Erika's Dragonair","Pokemon","Colorless","0","0"
"gym1-93","gym1","Sabrina's Gastly","Pokemon","Psychic","0","0"
"gym1-25","gym1","Erika's Clefairy","Pokemon","Colorless","0","0"
"basep-53","basep","Suicune","Pokemon","Water","0","0"
"gym2-106","gym2","Koga","Trainer","","0","0"
"basep-30","basep","Togepi","Pokemon","Colorless","0","0"
"gym1-86","gym1","Misty's Horsea","Pokemon","Water","0","0"
"gym2-89","gym2","Misty's Poliwag","Pokemon","Water","0","0"
"gym1-94","gym1","Sabrina's Mr. Mime","Pokemon","Psychic","0","0"
"gym1-14","gym1","Sabrina's Gengar","Pokemon","Psychic","0","0"
"gym1-113","gym1","Minion of Team Rocket","Trainer","","0","0"
"basep-48","basep","Articuno","Pokemon","Water","0","0"
"gym1-69","gym1","Brock's Onix","Pokemon","Fighting","0","0"
"basep-15","basep","Cool Porygon","Pokemon","Colorless","0","0"
"gym1-24","gym1","Brock's Zubat","Pokemon","Grass","0","0"
"gym1-116","gym1","Recall","Trainer","","0","0"
"gym2-49","gym2","Koga's Pidgey","Pokemon","Colorless","0","0"
"gym1-64","gym1","Blaine's Tauros","Pokemon","Colorless","0","0"
"basep-5","basep","Dragonite","Pokemon","Colorless","0","0"
"gym1-101","gym1","Lt. Surge","Trainer","","0","0"
"gym1-77","gym1","Erika's Exeggcute","Pokemon","Grass","0","0"
"gym2-121","gym2","Sabrina's Psychic Control","Trainer","","0","0"
"basep-22","basep","Articuno","Pokemon","Water","0","0"
"gym1-54","gym1","Misty's Psyduck","Pokemon","Water","0","0"
"basep-47","basep","Mew","Pokemon","Psychic","0","0"
"gym2-55","gym2","Sabrina's Haunter","Pokemon","Psychic","0","0"
"basep-20","basep","Psyduck","Pokemon","Water","0","0"
"gym1-102","gym1","Misty","Trainer","","0","0"
"gym1-71","gym1","Brock's Sandshrew","Pokemon","Fighting","0","0"
"gym2-125","gym2","Transparent Walls","Trainer","","0","0"
"gym1-62","gym1","Blaine's Growlithe","Pokemon","Fire","0","0"
"gym1-105","gym1","Blaine's Last Resort","Trainer","","0","0"
"basep-19","basep","Sabrina's Abra","Pokemon","Psychic","0","0"
"gym2-20","gym2","Sabrina","Trainer","","0","0"
"base3-12","base3","Moltres","Pokemon","Fire","0","0"
"gym2-92","gym2","Misty's Staryu","Pokemon","Water","0","0"
"gym2-95","gym2","Sabrina's Drowzee","Pokemon","Psychic","0","0"
"basep-8","basep","Mew","Pokemon","Psychic","0","0"
"gym2-103","gym2","Erika's Kindness","Trainer","","0","0"
"gym2-100","gym2","Blaine","Trainer","","0","0"
"gym1-98","gym1","Brock","Trainer","","0","0"
"gym2-61","gym2","Blaine's Doduo","Pokemon","Colorless","0","0"
"gym2-104","gym2","Giovanni","Trainer","","0","0"
"gym2-65","gym2","Blaine's Rhyhorn","Pokemon","Fighting","0","0"
"gym1-30","gym1","Misty's Goldeen","Pokemon","Water","0","0"
"basep-6","basep","Arcanine","Pokemon","Fire","0","0"
"gym2-122","gym2","Saffron City Gym","Trainer","","0","0"
"basep-41","basep","Lucky Stadium","Trainer","","0","0"
"basep-39","basep","Misdreavus","Pokemon","Psychic","0","0"
"gym1-46","gym1","Erika's Gloom","Pokemon","Grass","0","0"
"gym1-52","gym1","Lt. Surge's Spearow","Pokemon","Colorless","0","0"
"gym1-17","gym1","Lt. Surge","Trainer","","0","0"
"gym1-122","gym1","Energy Flow","Trainer","","0","0"
"gym2-71","gym2","Erika's Paras","Pokemon","Grass","0","0"
"base1-87","base1","Pokédex","Trainer","","0","0"
"gym1-40","gym1","Brock's Graveler","Pokemon","Fighting","0","0"
"basep-36","basep","Igglybuff","Pokemon","Colorless","0","0"
"gym1-76","gym1","Erika's Bellsprout","Pokemon","Grass","0","0"
"basep-35","basep","Pichu","Pokemon","Lightning","0","0"
"gym2-93","gym2","Sabrina's Abra","Pokemon","Psychic","0","0"
"gym1-79","gym1","Erika's Tangela","Pokemon","Grass","0","0"
"gym1-67","gym1","Brock's Mankey","Pokemon","Fighting","0","0"
"basep-44","basep","Magmar","Pokemon","Fire","0","0"
"gym2-105","gym2","Giovanni's Last Resort","Trainer","","0","0"
"gym2-63","gym2","Blaine's Mankey","Pokemon","Fighting","0","0"
"gym1-103","gym1","No Removal Gym","Trainer","","0","0"
"gym1-91","gym1","Sabrina's Abra","Pokemon","Psychic","0","0"
"basep-34","basep","Entei","Pokemon","Fire","0","0"
"base3-3","base3","Ditto","Pokemon","Colorless","0","0"
"gym1-73","gym1","Brock's Vulpix","Pokemon","Fire","0","0"
"gym2-107","gym2","Lt. Surge's Secret Plan","Trainer","","0","0"
"gym1-32","gym1","Misty's Tentacool","Pokemon","Water","0","0"
"basep-52","basep","Ho-oh","Pokemon","Fire","0","0"
"basep-42","basep","Pokémon Tower","Trainer","","0","0"
"gym1-104","gym1","The Rocket's Training Gym","Trainer","","0","0"
"basep-16","basep","Computer Error","Trainer","","0","0"
"gym2-117","gym2","Max Revive","Trainer","","0","0"
"base1-86","base1","Pokémon Flute","Trainer","","0","0"
"gym1-78","gym1","Erika's Oddish","Pokemon","Grass","0","0"
"gym1-70","gym1","Brock's Rhyhorn","Pokemon","Fighting","0","0"
"gym1-99","gym1","Charity","Trainer","","0","0"
"gym2-102","gym2","Chaos Gym","Trainer","","0","0"
"gym2-109","gym2","Resistance Gym","Trainer","","0","0"
"basep-12","basep","Mewtwo","Pokemon","Psychic","0","0"
"gym2-32","gym2","Blaine's Dodrio","Pokemon","Colorless","0","0"
"basep-17","basep","Dark Persian","Pokemon","Colorless","0","0"
"basep-13","basep","Venusaur","Pokemon","Grass","0","0"
"basep-21","basep","Moltres","Pokemon","Fire","0","0"
"gym2-38","gym2","Erika's Bellsprout","Pokemon","Grass","0","0"
"gym2-110","gym2","Sabrina","Trainer","","0","0"
"basep-33","basep","Scizor","Pokemon","Metal","0","0"
"gym2-57","gym2","Sabrina's Jynx","Pokemon","Psychic","0","0"
"gym1-21","gym1","Brock's Onix","Pokemon","Fighting","0","0"
"basep-32","basep","Smeargle","Pokemon","Colorless","0","0"
"basep-31","basep","Cleffa","Pokemon","Colorless","0","0"
"gym2-24","gym2","Giovanni's Pinsir","Pokemon","Grass","0","0"
